Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Slice
192.168.56.112-60.61.0.1-80-4765-6,60.61.0.1,4765,192.168.56.112,80,6,09/07/2022 01:34:05 AM,988,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3036.4372469635628,494.0,49.49747468305833,529.0,459.0,0.0,0.0,0.0,0.0,0.0,459.0,459.0,0.0,459.0,459.0,0,0,0,0,20,44,1012.1457489878544,2024.2914979757088,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.3-80-6780-6,60.61.0.3,6780,192.168.56.112,80,6,09/07/2022 01:49:12 AM,435,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4597.701149425287,435.0,0.0,435.0,435.0,0.0,0.0,0.0,0.0,0.0,435.0,435.0,0.0,435.0,435.0,0,0,0,0,0,40,0.0,4597.701149425287,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.1-80-5354-6,60.61.0.1,5354,192.168.56.112,80,6,09/07/2022 01:43:56 AM,3033,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.1196834817011,1516.5,1093.894190495589,2290.0,743.0,0.0,0.0,0.0,0.0,0.0,743.0,743.0,0.0,743.0,743.0,0,0,0,0,20,44,329.7065611605671,659.4131223211342,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-3316-6,60.61.0.5,3316,192.168.56.112,80,6,09/07/2022 02:00:04 AM,1039,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.391722810394,519.5,260.92240225783604,704.0,335.0,0.0,0.0,0.0,0.0,0.0,335.0,335.0,0.0,335.0,335.0,0,0,0,0,20,68,962.4639076034648,1924.9278152069296,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,65160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.3-80-7645-6,60.61.0.3,7645,192.168.56.112,80,6,09/07/2022 02:03:38 AM,354,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5649.717514124294,354.0,0.0,354.0,354.0,0.0,0.0,0.0,0.0,0.0,354.0,354.0,0.0,354.0,354.0,0,0,0,0,0,40,0.0,5649.717514124294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-2727-6,60.61.0.5,2727,192.168.56.112,80,6,09/07/2022 01:50:14 AM,2696,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.759643916914,1348.0,988.5352800987936,2047.0,649.0,0.0,0.0,0.0,0.0,0.0,649.0,649.0,0.0,649.0,649.0,0,0,0,0,20,68,370.919881305638,741.839762611276,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,65160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-3160-6,60.61.0.5,3160,192.168.56.112,80,6,09/07/2022 01:57:28 AM,1160,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586.206896551724,580.0,301.22748878546923,793.0,367.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,0.0,367.0,367.0,0,0,0,0,20,68,862.0689655172414,1724.1379310344828,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,65160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-1982-6,60.61.0.5,1982,192.168.56.112,80,6,09/07/2022 01:37:49 AM,3297,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.9181073703368,1648.5,1072.6809870599925,2407.0,890.0,0.0,0.0,0.0,0.0,0.0,890.0,890.0,0.0,890.0,890.0,0,0,0,0,20,68,303.3060357901122,606.6120715802244,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,65160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-3303-6,60.61.0.5,3303,192.168.56.112,80,6,09/07/2022 01:59:51 AM,1468,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.596730245232,734.0,134.35028842544403,829.0,639.0,0.0,0.0,0.0,0.0,0.0,829.0,829.0,0.0,829.0,829.0,0,0,0,0,20,68,681.1989100817439,1362.3978201634875,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,65160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
192.168.56.112-60.61.0.5-80-3556-6,60.61.0.5,3556,192.168.56.112,80,6,09/07/2022 02:04:04 AM,1490,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.4228187919464,745.0,510.5310960166873,1106.0,384.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,384.0,384.0,0,0,0,0,20,68,671.1409395973154,1342.2818791946308,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,65160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,1
